pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,11,2,46,2,,,,,131.57123464497272,132.5570371769718,132.5570371769718,132.5570371769718,132.5570371769718,132.57392367901048,133.55981236399384,133.55981236399384,c,1,0.2934924270375632,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,11,3,47,3,,,,,133.87716393498704,134.8637555890018,134.8637555890018,134.8637555890018,134.8637555890018,134.88049609196605,135.8661498510046,135.8661498510046,z,1,0.270148350042291,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,12,0,48,0,,,,,136.1667336539831,137.1526761999703,137.1526761999703,137.1526761999703,137.1526761999703,137.16945864795707,138.1553569319658,138.1553569319658,x,1,0.32048535998910666,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,12,1,49,1,,,,,138.50619471998652,139.49217858799966,139.49217858799966,139.49217858799966,139.49217858799966,139.50907128397375,140.49513447796926,140.49513447796926,v,1,0.30996994907036424,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,12,2,50,2,,,,,140.82910019700648,141.81520957697649,141.81520957697649,141.81520957697649,141.81520957697649,141.8318110239925,142.81790086399997,142.81790086399997,c,1,0.25883105100365356,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,12,3,51,3,,,,,143.1015568599687,144.08802772400668,144.08802772400668,144.08802772400668,144.08802772400668,144.1047068790067,145.0908597469679,145.0908597469679,z,1,0.25591642706422135,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,13,0,52,0,,,,,145.3747647269629,146.36088599998038,146.36088599998038,146.36088599998038,146.36088599998038,146.37792231695494,147.36382035899442,147.36382035899442,x,1,0.22131533705396578,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,13,1,53,1,,,,,147.61387764196843,148.5999616109766,148.5999616109766,148.5999616109766,148.5999616109766,148.61686655395897,149.60250314400764,149.60250314400764,v,1,0.043698313063941896,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,13,2,54,2,,,,,149.66958315001102,150.65545073000249,150.65545073000249,150.65545073000249,150.65545073000249,150.67239523900207,151.6583221849869,151.6583221849869,c,1,0.17770848103100434,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,13,3,55,3,,,,,151.85867055598646,152.84513440699084,152.84513440699084,152.84513440699084,152.84513440699084,152.861327163002,153.84728564397665,153.84728564397665,z,1,0.22661904705455527,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
